Mês-ano,IPC
fev/16,1.06
mar/16,1.24
abr/16,1.09
mai/16,0.78
jun/16,0.71
jul/16,1.32
ago/16,0.3
set/16,-0.29
out/16,-0.05
nov/16,-0.2
dez/16,0.08
jan/17,0.35
fev/17,-0.45
mar/17,0.34
abr/17,0.58
mai/17,-0.35
jun/17,-0.5
jul/17,-0.47
ago/17,-1.07
set/17,-0.41
out/17,-0.05
nov/17,-0.38
dez/17,0.54
jan/18,0.74
fev/18,-0.33
mar/18,0.07
abr/18,0.09
mai/18,0.32
jun/18,2.03
jul/18,-0.12
ago/18,-0.34
set/18,0.1
out/18,0.59
nov/18,0.39
dez/18,0.44
jan/19,0.9
fev/19,0.78
mar/19,1.37
abr/19,0.63
mai/19,-0.56
jun/19,-0.25
jul/19,0.01
ago/19,-0.35
set/19,-0.43
out/19,0.05
nov/19,0.72
dez/19,3.38
jan/20,0.39
fev/20,0.11
mar/20,1.13
abr/20,1.79
mai/20,0.24
jun/20,0.38
jul/20,0.01
ago/20,0.78
set/20,2.28
out/20,1.93
nov/20,2.54
dez/20,1.74
jan/21,1.02
fev/21,0.27
mar/21,0.13
abr/21,0.4
mai/21,0.44
jun/21,0.43
jul/21,0.6
ago/21,1.39
set/21,1.02
